branch_id,from_bus,to_bus,nominal_status_1closed_0open,switch_type
1,1,2,1,sectionalizing
2,2,3,1,sectionalizing
3,3,4,1,sectionalizing
4,4,5,1,sectionalizing
5,5,6,1,sectionalizing
6,6,7,1,sectionalizing
7,7,8,1,sectionalizing
8,8,9,1,sectionalizing
9,9,10,1,sectionalizing
10,10,11,1,sectionalizing
11,11,12,1,sectionalizing
12,12,13,1,sectionalizing
13,13,14,1,sectionalizing
14,14,15,1,sectionalizing
15,15,16,1,sectionalizing
16,16,17,1,sectionalizing
17,17,18,1,sectionalizing
18,18,19,1,sectionalizing
19,19,20,1,sectionalizing
20,20,21,1,sectionalizing
21,21,22,1,sectionalizing
22,22,23,1,sectionalizing
23,23,24,1,sectionalizing
24,24,25,1,sectionalizing
25,25,26,1,sectionalizing
26,26,27,1,sectionalizing
27,3,28,1,sectionalizing
28,28,29,1,sectionalizing
29,29,30,1,sectionalizing
30,30,31,1,sectionalizing
31,31,32,1,sectionalizing
32,32,33,1,sectionalizing
33,33,34,1,sectionalizing
34,34,35,1,sectionalizing
35,3,36,1,sectionalizing
36,36,37,1,sectionalizing
37,37,38,1,sectionalizing
38,38,39,1,sectionalizing
39,39,40,1,sectionalizing
40,40,41,1,sectionalizing
41,41,42,1,sectionalizing
42,42,43,1,sectionalizing
43,43,44,1,sectionalizing
44,44,45,1,sectionalizing
45,45,46,1,sectionalizing
46,4,47,1,sectionalizing
47,47,48,1,sectionalizing
48,48,49,1,sectionalizing
49,49,50,1,sectionalizing
50,8,51,1,sectionalizing
51,51,52,1,sectionalizing
52,9,53,1,sectionalizing
53,53,54,1,sectionalizing
54,54,55,1,sectionalizing
55,55,56,1,sectionalizing
56,56,57,1,sectionalizing
57,57,58,1,sectionalizing
58,58,59,1,sectionalizing
59,59,60,1,sectionalizing
60,60,61,1,sectionalizing
61,61,62,1,sectionalizing
62,62,63,1,sectionalizing
63,63,64,1,sectionalizing
64,64,65,1,sectionalizing
65,11,66,1,sectionalizing
66,66,67,1,sectionalizing
67,12,68,1,sectionalizing
68,68,69,1,sectionalizing
69,11,43,0,tie
70,13,21,0,tie
71,15,46,0,tie
72,28,65,0,tie
73,50,59,0,tie
