branch_id,from_bus,to_bus,nominal_status_1closed_0open,switch_type
1,1,2,1,sectionalizing
2,2,3,1,sectionalizing
3,2,4,1,sectionalizing
4,4,5,1,sectionalizing
5,5,6,1,sectionalizing
6,6,7,1,sectionalizing
7,7,8,1,sectionalizing
8,8,9,1,sectionalizing
9,2,10,1,sectionalizing
10,10,11,1,sectionalizing
11,11,12,1,sectionalizing
12,12,13,1,sectionalizing
13,13,14,1,sectionalizing
14,14,15,1,sectionalizing
15,15,16,1,sectionalizing
16,16,17,1,sectionalizing
17,11,18,1,sectionalizing
18,18,19,1,sectionalizing
19,19,20,1,sectionalizing
20,20,21,1,sectionalizing
21,21,22,1,sectionalizing
22,22,23,1,sectionalizing
23,23,24,1,sectionalizing
24,24,25,1,sectionalizing
25,25,26,1,sectionalizing
26,26,27,1,sectionalizing
27,4,28,1,sectionalizing
28,28,29,1,sectionalizing
29,29,30,1,sectionalizing
30,30,31,1,sectionalizing
31,31,32,1,sectionalizing
32,32,33,1,sectionalizing
33,33,34,1,sectionalizing
34,34,35,1,sectionalizing
35,30,36,1,sectionalizing
36,36,37,1,sectionalizing
37,29,38,1,sectionalizing
38,38,39,1,sectionalizing
39,39,40,1,sectionalizing
40,40,41,1,sectionalizing
41,41,42,1,sectionalizing
42,42,43,1,sectionalizing
43,43,44,1,sectionalizing
44,44,45,1,sectionalizing
45,45,46,1,sectionalizing
46,35,47,1,sectionalizing
47,47,48,1,sectionalizing
48,48,49,1,sectionalizing
49,49,50,1,sectionalizing
50,50,51,1,sectionalizing
51,51,52,1,sectionalizing
52,52,53,1,sectionalizing
53,53,54,1,sectionalizing
54,29,55,1,sectionalizing
55,55,56,1,sectionalizing
56,56,57,1,sectionalizing
57,57,58,1,sectionalizing
58,58,59,1,sectionalizing
59,59,60,1,sectionalizing
60,60,61,1,sectionalizing
61,61,62,1,sectionalizing
62,1,63,1,sectionalizing
63,63,64,1,sectionalizing
64,64,65,1,sectionalizing
65,65,66,1,sectionalizing
66,66,67,1,sectionalizing
67,67,68,1,sectionalizing
68,68,69,1,sectionalizing
69,69,70,1,sectionalizing
70,70,71,1,sectionalizing
71,71,72,1,sectionalizing
72,72,73,1,sectionalizing
73,73,74,1,sectionalizing
74,74,75,1,sectionalizing
75,75,76,1,sectionalizing
76,76,77,1,sectionalizing
77,64,78,1,sectionalizing
78,78,79,1,sectionalizing
79,79,80,1,sectionalizing
80,80,81,1,sectionalizing
81,81,82,1,sectionalizing
82,82,83,1,sectionalizing
83,83,84,1,sectionalizing
84,84,85,1,sectionalizing
85,79,86,1,sectionalizing
86,86,87,1,sectionalizing
87,87,88,1,sectionalizing
88,65,89,1,sectionalizing
89,89,90,1,sectionalizing
90,90,91,1,sectionalizing
91,91,92,1,sectionalizing
92,92,93,1,sectionalizing
93,93,94,1,sectionalizing
94,94,95,1,sectionalizing
95,91,96,1,sectionalizing
96,96,97,1,sectionalizing
97,97,98,1,sectionalizing
98,98,99,1,sectionalizing
99,1,100,1,sectionalizing
100,100,101,1,sectionalizing
101,101,102,1,sectionalizing
102,102,103,1,sectionalizing
103,103,104,1,sectionalizing
104,104,105,1,sectionalizing
105,105,106,1,sectionalizing
106,106,107,1,sectionalizing
107,107,108,1,sectionalizing
108,108,109,1,sectionalizing
109,109,110,1,sectionalizing
110,110,111,1,sectionalizing
111,110,112,1,sectionalizing
112,112,113,1,sectionalizing
113,100,114,1,sectionalizing
114,114,115,1,sectionalizing
115,115,116,1,sectionalizing
116,116,117,1,sectionalizing
117,117,118,1,sectionalizing
118,46,27,0,tie
119,17,27,0,tie
120,8,24,0,tie
121,54,43,0,tie
122,62,49,0,tie
123,37,62,0,tie
124,9,40,0,tie
125,58,96,0,tie
126,73,91,0,tie
127,88,75,0,tie
128,99,77,0,tie
129,108,83,0,tie
130,105,86,0,tie
131,110,118,0,tie
132,25,35,0,tie
